myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj
RMND1	0.852	0.773243992356903	0.704	0.773243992356903	0.883	0.598	NA
MINDY2	0.852	0.658344312696385	0.704	0.658344312696385	0.967	0.787	NA
SLC43A1	0.852	0.52539089926937	0.704	0.52539089926937	0.85	0.331	NA
RPL41	0.851	0.836287185098048	0.702	0.836287185098048	0.983	0.961	NA
DPY30	0.851	0.740356082974006	0.702	0.740356082974006	0.95	0.827	NA
SUSD2	0.851	0.721279976424592	0.702	0.721279976424592	0.8	0.354	NA
RPUSD3	0.85	0.893851517488952	0.7	0.893851517488952	0.883	0.74	NA
SDCBP	0.85	0.801127609893014	0.7	0.801127609893014	0.967	0.89	NA
TSPYL6	0.15	-0.539162800066438	0.7	-0.539162800066438	0.333	0.85	NA
MTND4P12	0.15	-0.696076604815228	0.7	-0.696076604815228	0.967	0.992	NA
MT-ND3	0.15	-0.832599173191023	0.7	-0.832599173191023	0.983	0.992	NA
TXN	0.849	0.991733199083887	0.698	0.991733199083887	0.933	0.811	NA
AC090498.1	0.849	0.951145706321216	0.698	0.951145706321216	0.983	0.961	NA
CYP2S1	0.849	0.625779795044439	0.698	0.625779795044439	0.85	0.339	NA
RPL41P5	0.849	0.543720777470786	0.698	0.543720777470786	0.917	0.756	NA
RPL7P32	0.848	0.680991703545863	0.696	0.680991703545863	1	0.961	NA
OIP5-AS1	0.848	0.635352890137813	0.696	0.635352890137813	0.95	0.843	NA
RPL36A	0.848	0.487368502232127	0.696	0.487368502232127	0.983	0.921	NA
MT-CYB	0.152	-0.642224991854235	0.696	-0.642224991854235	1	1	NA
MTATP6P1	0.152	-0.657109753962767	0.696	-0.657109753962767	1	1	NA
SERPINE2	0.152	-0.884215772986704	0.696	-0.884215772986704	0.483	0.906	NA
AC116533.1	0.847	0.756913235200425	0.694	0.756913235200425	0.983	0.953	NA
CTSL	0.846	1.0788646466942	0.692	1.0788646466942	0.933	0.717	NA
RPSAP58	0.846	0.670549218997319	0.692	0.670549218997319	0.983	0.945	NA
HSPB1P1	0.154	-0.272459047778594	0.692	-0.272459047778594	0.65	0.929	NA
TMEM11	0.845	0.595458853443189	0.69	0.595458853443189	0.967	0.898	NA
MESD	0.844	0.658532154328084	0.688	0.658532154328084	0.967	0.819	NA
PPM1N	0.844	0.645535263672871	0.688	0.645535263672871	0.967	0.827	NA
PODXL	0.844	0.50812745193688	0.688	0.50812745193688	0.933	0.559	NA
XPNPEP1	0.156	-0.381748264986366	0.688	-0.381748264986366	0.567	0.953	NA
TOPAZ1	0.156	-0.466710538979101	0.688	-0.466710538979101	0.267	0.827	NA
MTCO2P12	0.156	-0.686486012800251	0.688	-0.686486012800251	0.967	0.984	NA
MT-CO3	0.157	-0.601011734065534	0.686	-0.601011734065534	1	1	NA
AC092447.7	0.842	0.831366465981135	0.684	0.831366465981135	0.967	0.787	NA
ABCB8	0.842	0.38230231820664	0.684	0.38230231820664	0.867	0.378	NA
MSH2	0.841	0.711380499066641	0.682	0.711380499066641	0.933	0.646	NA
TMEM14B	0.841	0.644415941872208	0.682	0.644415941872208	0.967	0.882	NA
RPS7P1	0.841	0.598365088193319	0.682	0.598365088193319	0.983	0.961	NA
ELMSAN1	0.159	-0.325356676118395	0.682	-0.325356676118395	0.75	0.953	NA
DMD	0.84	1.00796232258925	0.68	1.00796232258925	0.95	0.929	NA
AC016596.1	0.84	0.835494872397596	0.68	0.835494872397596	0.967	0.961	NA
RPL22	0.84	0.823567937969008	0.68	0.823567937969008	0.967	0.961	NA
NEDD4L	0.16	-0.458566973436354	0.68	-0.458566973436354	0.8	0.984	NA
OBSL1	0.16	-0.650451045157641	0.68	-0.650451045157641	0.65	0.945	NA
AC011447.3	0.839	0.96040934492036	0.678	0.96040934492036	0.85	0.441	NA
RPS4X	0.839	0.614373024083821	0.678	0.614373024083821	1	0.969	NA
RPS3AP26	0.839	0.579493304487352	0.678	0.579493304487352	1	0.969	NA
RPSAP19	0.839	0.562063531212937	0.678	0.562063531212937	0.983	0.945	NA
RPL7P6	0.839	0.559460719150922	0.678	0.559460719150922	1	0.953	NA
BFAR	0.838	0.773963717958859	0.676	0.773963717958859	0.867	0.496	NA
PRELP	0.838	0.643878193572826	0.676	0.643878193572826	0.783	0.252	NA
LOXL2	0.838	0.456486461896648	0.676	0.456486461896648	0.9	0.598	NA
PYY	0.838	0.347160359487876	0.676	0.347160359487876	0.75	0.15	NA
MT-TC	0.162	-0.677760209788046	0.676	-0.677760209788046	0.617	0.929	NA
RPL41P1	0.837	0.87359784921258	0.674	0.87359784921258	0.967	0.953	NA
RPL41P2	0.837	0.852893727716471	0.674	0.852893727716471	0.983	0.945	NA
RPL26P19	0.837	0.666813564829022	0.674	0.666813564829022	1	0.961	NA
RPS15	0.837	0.590478243351458	0.674	0.590478243351458	1	0.976	NA
RPL4	0.837	0.502362024066913	0.674	0.502362024066913	1	0.984	NA
AC074033.1	0.837	0.464418258827943	0.674	0.464418258827943	0.95	0.945	NA
RPL23	0.836	0.878584315968657	0.672	0.878584315968657	0.983	0.984	NA
MTCO1P12	0.164	-0.630342690940382	0.672	-0.630342690940382	1	1	NA
BBX	0.164	-0.692698198633153	0.672	-0.692698198633153	0.967	0.984	NA
MTND2P28	0.165	-0.674095498808561	0.67	-0.674095498808561	1	0.976	NA
KLF6	0.165	-0.69158712690248	0.67	-0.69158712690248	0.467	0.866	NA
EIF3A	0.834	0.52797552636158	0.668	0.52797552636158	1	0.961	NA
DPPA4	0.833	0.787265809509248	0.666	0.787265809509248	0.95	0.874	NA
MTMR14	0.833	0.580423981187617	0.666	0.580423981187617	0.967	0.787	NA
MYT1L	0.167	-0.425241553629939	0.666	-0.425241553629939	0.417	0.835	NA
RPS13P2	0.832	0.608564557317158	0.664	0.608564557317158	0.95	0.969	NA
RPS7P11	0.832	0.487149077113528	0.664	0.487149077113528	0.967	0.953	NA
MTCO2P2	0.168	-0.50058731519314	0.664	-0.50058731519314	0.967	0.976	NA
EIF3E	0.831	0.604073995886246	0.662	0.604073995886246	1	0.976	NA
Z74021.1	0.831	0.459861598105519	0.662	0.459861598105519	0.933	0.937	NA
RPS3AP5	0.831	0.45033254922022	0.662	0.45033254922022	1	0.969	NA
RPL7P9	0.83	0.740027892492165	0.66	0.740027892492165	1	0.976	NA
RPL7P23	0.83	0.683089969224768	0.66	0.683089969224768	1	0.984	NA
PIWIL1	0.83	0.530374630160773	0.66	0.530374630160773	0.917	0.559	NA
MAPK10	0.17	-0.288343651117785	0.66	-0.288343651117785	0.733	0.976	NA
TMCO1	0.17	-0.525008791953757	0.66	-0.525008791953757	0.5	0.906	NA
RPL7	0.829	0.761054258598617	0.658	0.761054258598617	1	0.969	NA
AC008038.1	0.829	0.65120311872419	0.658	0.65120311872419	0.983	0.976	NA
RPL11	0.829	0.623200521043156	0.658	0.623200521043156	0.983	0.984	NA
SNRPD3	0.829	0.613716478868399	0.658	0.613716478868399	0.983	0.827	NA
RPS13	0.829	0.57243094090262	0.658	0.57243094090262	0.983	0.976	NA
SYNE1	0.171	-0.517055188401559	0.658	-0.517055188401559	0.55	0.906	NA
NFIC	0.171	-0.549572112095551	0.658	-0.549572112095551	0.933	0.992	NA
ID1	0.171	-1.09575311408466	0.658	-1.09575311408466	0.75	0.953	NA
TEX15	0.172	-0.833692397064564	0.656	-0.833692397064564	0.383	0.843	NA
CDCA7	0.828	0.73431771011703	0.656	0.73431771011703	0.867	0.559	NA
RPS15A	0.828	0.724326721762645	0.656	0.724326721762645	0.983	1	NA
C19orf48	0.828	0.562297418733096	0.656	0.562297418733096	0.933	0.787	NA
ERGIC3	0.828	0.551914128843953	0.656	0.551914128843953	0.967	0.953	NA
TRIAP1	0.828	0.469883072520288	0.656	0.469883072520288	0.783	0.205	NA
NMRAL1	0.828	0.392962286710941	0.656	0.392962286710941	0.917	0.425	NA
ASAP1	0.173	-0.665094918017145	0.654	-0.665094918017145	0.733	0.945	NA
MT-ND2	0.173	-0.700362477440657	0.654	-0.700362477440657	0.983	0.984	NA
PSAP	0.827	0.588910523924007	0.654	0.588910523924007	0.983	0.969	NA
PSMB4	0.827	0.564423907399834	0.654	0.564423907399834	0.983	0.961	NA
AL390728.6	0.827	0.550705428640231	0.654	0.550705428640231	0.867	0.535	NA
AC010468.1	0.827	0.405239743685594	0.654	0.405239743685594	1	0.976	NA
RPL36AP26	0.827	0.253485803922183	0.654	0.253485803922183	0.95	0.764	NA
RHOXF2B	0.174	-0.37500203121623	0.652	-0.37500203121623	0.267	0.78	NA
PPP3CA	0.174	-0.377231037804292	0.652	-0.377231037804292	0.5	0.866	NA
CNTNAP2	0.174	-0.537863096718696	0.652	-0.537863096718696	0.983	1	NA
ASRGL1	0.826	0.658964162538264	0.652	0.658964162538264	0.967	0.961	NA
SLC3A2	0.826	0.528316761966574	0.652	0.528316761966574	1	0.906	NA
RPS23P8	0.826	0.483907222732748	0.652	0.483907222732748	1	0.969	NA
PTMAP5	0.826	0.458959560469714	0.652	0.458959560469714	1	0.969	NA
PFN1P1	0.826	0.292913735736457	0.652	0.292913735736457	0.933	0.819	NA
ZNF516	0.175	-0.418148614709658	0.65	-0.418148614709658	0.633	0.976	NA
MTRNR2L1	0.175	-0.459718541413907	0.65	-0.459718541413907	0.983	0.969	NA
SMS	0.175	-0.624583626691408	0.65	-0.624583626691408	0.95	0.992	NA
TET1	0.825	0.851200184183315	0.65	0.851200184183315	0.917	0.756	NA
PRDM1	0.825	0.564899980594664	0.65	0.564899980594664	0.917	0.693	NA
RPS3	0.825	0.557059935789731	0.65	0.557059935789731	1	0.976	NA
AC024293.1	0.825	0.498435321317583	0.65	0.498435321317583	1	0.969	NA
RPSAP9	0.825	0.493969975002964	0.65	0.493969975002965	0.967	0.937	NA
RPS26P6	0.825	0.451897242696346	0.65	0.451897242696346	1	0.961	NA
RPL7P1	0.824	0.76009003433511	0.648	0.76009003433511	1	0.961	NA
TOMM7	0.824	0.729933642459108	0.648	0.729933642459108	0.95	0.921	NA
MRPL15	0.824	0.64887142263969	0.648	0.64887142263969	0.917	0.701	NA
POLR2L	0.824	0.611759715060341	0.648	0.611759715060341	0.983	0.976	NA
NUDT1	0.824	0.588724365230192	0.648	0.588724365230192	0.917	0.677	NA
RPS7	0.824	0.497347289207753	0.648	0.497347289207753	1	0.984	NA
PTMA	0.824	0.478012571674586	0.648	0.478012571674586	1	0.992	NA
RPS7P3	0.824	0.345807930081678	0.648	0.345807930081678	0.983	0.945	NA
LINC01128	0.177	-0.397281936696642	0.646	-0.397281936696642	0.8	0.929	NA
EPB41L2	0.823	0.596163175114113	0.646	0.596163175114113	1	0.992	NA
MT-ATP6	0.178	-0.474460504879159	0.644	-0.474460504879159	1	1	NA
MT-CO1	0.178	-0.511110022296126	0.644	-0.511110022296126	1	1	NA
MT-ND4L	0.178	-0.554707980235445	0.644	-0.554707980235445	1	1	NA
ERP29	0.822	0.707908402249457	0.644	0.707908402249457	0.967	0.913	NA
LY6E	0.822	0.517081617328312	0.644	0.517081617328312	0.967	0.819	NA
AC007182.2	0.822	0.455746496168977	0.644	0.455746496168977	0.917	0.898	NA
ARRDC3	0.179	-0.518859653488238	0.642	-0.518859653488238	0.483	0.906	NA
ZFAND5	0.179	-0.858031098478654	0.642	-0.858031098478654	0.883	0.976	NA
AURKAIP1	0.821	0.67401217836458	0.642	0.67401217836458	0.933	0.772	NA
MRS2	0.821	0.52126427902298	0.642	0.52126427902298	0.917	0.638	NA
ZNF682	0.821	0.454384656868935	0.642	0.454384656868935	0.783	0.283	NA
MMP2	0.82	0.583101128381051	0.64	0.583101128381051	0.9	0.724	NA
SMN2	0.82	0.313491234072982	0.64	0.313491234072982	0.95	0.929	NA
RPL35A	0.819	0.448013232741026	0.638	0.448013232741026	1	0.992	NA
TIMM50	0.819	0.401065567774988	0.638	0.401065567774988	0.95	0.874	NA
AL139095.2	0.819	0.383722966555587	0.638	0.383722966555587	0.967	0.953	NA
RPL7P47	0.819	0.339833941247486	0.638	0.339833941247486	0.95	0.858	NA
ALDH1A2	0.182	-0.334345543879866	0.636	-0.334345543879866	0.333	0.803	NA
CDK6	0.182	-0.497289364174799	0.636	-0.497289364174799	0.783	0.937	NA
MT-ND6	0.182	-0.65490237814292	0.636	-0.65490237814292	0.967	0.976	NA
MRPL17	0.818	0.589722098216168	0.636	0.589722098216168	0.9	0.52	NA
XBP1	0.818	0.508562356085954	0.636	0.508562356085954	0.95	0.551	NA
ID2	0.183	-0.373976408401631	0.634	-0.373976408401631	0.333	0.89	NA
MT-CO2	0.183	-0.548514087239894	0.634	-0.548514087239894	1	1	NA
RPA3	0.817	0.777366422172374	0.634	0.777366422172374	0.9	0.685	NA
AK4	0.817	0.625559216560954	0.634	0.625559216560954	0.967	0.74	NA
AC004890.1	0.817	0.568190064511736	0.634	0.568190064511736	0.967	0.906	NA
RYR2	0.184	-0.276413218718571	0.632	-0.276413218718571	0.533	0.89	NA
TCF7L2	0.184	-0.564798711244534	0.632	-0.564798711244534	0.5	0.827	NA
RBBP7	0.184	-0.703464901211958	0.632	-0.703464901211958	0.833	0.976	NA
ALPL	0.816	0.832362509339933	0.632	0.832362509339933	0.883	0.724	NA
APOE	0.816	0.667039456166995	0.632	0.667039456166995	0.783	0.291	NA
RAB3B	0.816	0.584543255494723	0.632	0.584543255494723	0.9	0.835	NA
MED13L	0.185	-0.513224390180875	0.63	-0.513224390180875	0.733	0.953	NA
ZNF827	0.185	-0.576826339235892	0.63	-0.576826339235892	0.383	0.772	NA
BOLA3	0.815	0.579489346296052	0.63	0.579489346296052	0.867	0.504	NA
AC018868.1	0.815	0.528059559298314	0.63	0.528059559298314	1	0.953	NA
TEAD4	0.815	0.410974915750892	0.63	0.410974915750892	0.9	0.52	NA
RHOXF2	0.186	-0.456012042413365	0.628	-0.456012042413365	0.15	0.709	NA
MT-ND5	0.186	-0.547932779701866	0.628	-0.547932779701866	1	0.976	NA
BNIP3L	0.186	-0.593653609209418	0.628	-0.593653609209418	0.933	0.976	NA
MAPK1IP1L	0.814	0.485812316425532	0.628	0.485812316425532	0.983	0.984	NA
RPSAP12	0.814	0.474993340389335	0.628	0.474993340389335	0.983	0.953	NA
RPS3A	0.814	0.474712594594023	0.628	0.474712594594023	1	1	NA
LIN7B	0.187	-0.260754508095551	0.626	-0.260754508095551	0.35	0.843	NA
MTND6P4	0.187	-0.301211309195827	0.626	-0.301211309195827	0.8	0.945	NA
MARCH10	0.187	-0.320416382504093	0.626	-0.320416382504093	0.233	0.764	NA
PEBP1	0.813	0.749487230968465	0.626	0.749487230968465	1	0.89	NA
RPL10A	0.813	0.595952611395023	0.626	0.595952611395023	0.983	0.969	NA
RPS8	0.813	0.56700447997192	0.626	0.56700447997192	1	0.969	NA
RPL12	0.813	0.562656639754022	0.626	0.562656639754022	1	0.945	NA
RPS3AP6	0.813	0.52073630159265	0.626	0.52073630159265	1	0.976	NA
RPS3AP25	0.813	0.457395204417712	0.626	0.457395204417712	0.983	0.961	NA
PSMB6	0.812	0.717967760200321	0.624	0.717967760200321	0.95	0.811	NA
OXA1L	0.812	0.500274127557603	0.624	0.500274127557603	0.95	0.709	NA
RPS24P8	0.812	0.424986071664982	0.624	0.424986071664982	0.983	0.976	NA
CDC42EP4	0.812	0.343306763482829	0.624	0.343306763482829	0.9	0.472	NA
SMARCE1	0.188	-0.568175933017077	0.624	-0.568175933017077	1	1	NA
RPS10	0.811	0.510522828927823	0.622	0.510522828927823	0.983	0.961	NA
ESAM	0.811	0.385746364020772	0.622	0.385746364020772	0.7	0.126	NA
MEIS1	0.189	-0.288093562138998	0.622	-0.288093562138998	0.683	0.913	NA
TRPS1	0.189	-0.332169906928514	0.622	-0.332169906928514	0.5	0.874	NA
TSC22D1	0.189	-0.753152721204987	0.622	-0.753152721204987	0.633	0.906	NA
RPS26	0.81	0.490526192384847	0.62	0.490526192384847	1	0.976	NA
TMEM134	0.81	0.370269910811493	0.62	0.370269910811493	0.967	0.78	NA
AC004552.1	0.81	0.340405707927067	0.62	0.340405707927067	1	0.961	NA
AC009948.2	0.19	-0.448540049657398	0.62	-0.448540049657398	0.967	1	NA
LMO7	0.19	-0.46397583511058	0.62	-0.46397583511058	0.45	0.874	NA
CCDC172	0.19	-0.571125924162785	0.62	-0.571125924162785	0.35	0.819	NA
DDX21	0.809	0.801443991974282	0.618	0.801443991974282	0.967	0.827	NA
ETV5	0.809	0.695099570684579	0.618	0.695099570684579	0.983	0.858	NA
TMEM258	0.809	0.530342511172546	0.618	0.530342511172546	0.983	0.945	NA
RPS24	0.809	0.510164447886264	0.618	0.510164447886264	1	0.984	NA
FARSB	0.809	0.327724585793603	0.618	0.327724585793603	0.933	0.74	NA
VGLL4	0.191	-0.354096688665743	0.618	-0.354096688665743	0.383	0.811	NA
RPL27	0.808	0.569871634454429	0.616	0.569871634454429	1	0.969	NA
CCT6A	0.808	0.544507418875575	0.616	0.544507418875575	0.983	0.929	NA
EIF3CL	0.808	0.476375930888072	0.616	0.476375930888072	1	0.945	NA
HEY2	0.192	-0.35372193990671	0.616	-0.35372193990671	0.783	0.953	NA
FBLN1	0.807	0.628963434893137	0.614	0.628963434893137	0.933	0.787	NA
NPM1	0.807	0.524391245073569	0.614	0.524391245073569	0.967	0.976	NA
FSTL1	0.807	0.464847828837282	0.614	0.464847828837282	0.95	0.693	NA
RPS3AP47	0.807	0.460416262845005	0.614	0.460416262845005	1	0.984	NA
AL009174.1	0.807	0.428685410372501	0.614	0.428685410372501	0.967	0.929	NA
ATP5EP2	0.193	-0.274006166947551	0.614	-0.274006166947551	0.883	0.945	NA
DLK1	0.193	-1.03409522709828	0.614	-1.03409522709828	0.6	0.898	NA
RPL30	0.806	0.531177123339633	0.612	0.531177123339633	1	0.976	NA
RPL8	0.806	0.525253193283711	0.612	0.525253193283711	1	1	NA
RPS7P10	0.806	0.447747531470182	0.612	0.447747531470182	0.967	0.945	NA
EXOSC5	0.806	0.446444428834618	0.612	0.446444428834618	0.867	0.449	NA
FNDC5	0.806	0.392635527635452	0.612	0.392635527635452	0.817	0.402	NA
TBC1D16	0.194	-0.270014962717985	0.612	-0.270014962717985	0.817	0.976	NA
YAF2	0.194	-0.543408316777619	0.612	-0.543408316777619	0.633	0.937	NA
CCDC73	0.194	-0.787943937405321	0.612	-0.787943937405321	0.517	0.827	NA
AZIN1	0.805	0.512542872378233	0.61	0.512542872378233	0.95	0.756	NA
AC004057.1	0.805	0.369828620193111	0.61	0.369828620193111	1	0.961	NA
MT-TS1	0.195	-0.283864794538365	0.61	-0.283864794538365	0.767	0.921	NA
AK9	0.195	-0.490630108145968	0.61	-0.490630108145968	0.417	0.866	NA
HUS1	0.804	0.482939302785167	0.608	0.482939302785167	0.833	0.409	NA
MBP	0.804	0.343473149767864	0.608	0.343473149767864	0.85	0.559	NA
HOXC9	0.196	-0.740561915406088	0.608	-0.740561915406088	0.25	0.748	NA
RPS2	0.803	0.605132779385429	0.606	0.605132779385429	1	0.961	NA
RPS25	0.803	0.477651909102969	0.606	0.477651909102969	0.983	0.961	NA
NSMAF	0.803	0.45796275311294	0.606	0.45796275311294	0.917	0.606	NA
TFAP2A	0.197	-0.344933931811434	0.606	-0.344933931811434	0.933	0.992	NA
SHD	0.802	0.674579477617804	0.604	0.674579477617804	0.8	0.402	NA
SRM	0.802	0.599306940468129	0.604	0.599306940468129	0.95	0.63	NA
ARPC1A	0.802	0.528175051809345	0.604	0.528175051809345	0.983	0.843	NA
EIF3C	0.802	0.484411204835716	0.604	0.484411204835716	0.967	0.976	NA
XRCC5	0.802	0.439984739961689	0.604	0.439984739961689	1	0.984	NA
RPS26P8	0.802	0.388586999179278	0.604	0.388586999179278	1	0.976	NA
RPS26P3	0.802	0.321065133474454	0.604	0.321065133474454	0.983	0.961	NA
TRIML2	0.801	0.652381511847288	0.602	0.652381511847288	0.783	0.386	NA
SAT1	0.801	0.635842258335685	0.602	0.635842258335685	0.917	0.52	NA
MLEC	0.801	0.541143280534814	0.602	0.541143280534814	1	1	NA
AC007969.1	0.801	0.463204278055457	0.602	0.463204278055457	0.983	0.992	NA
RPS29P5	0.801	0.328051073974598	0.602	0.328051073974598	0.983	0.929	NA
SPATS2L	0.199	-0.736630056282353	0.602	-0.736630056282353	0.333	0.811	NA
MEG3	0.8	0.617583994803363	0.6	0.617583994803363	0.917	0.858	NA
POLR1C	0.8	0.528070534341041	0.6	0.528070534341041	0.933	0.748	NA
ADD2	0.8	0.376571002704901	0.6	0.376571002704901	0.883	0.669	NA
CNTNAP3B	0.2	-0.253138560599749	0.6	-0.253138560599749	0.533	0.874	NA
ARPC3	0.799	0.52373857929381	0.598	0.52373857929381	0.967	0.929	NA
IMP3	0.799	0.427933561558129	0.598	0.427933561558129	0.917	0.583	NA
HSPE1	0.798	0.493845106509978	0.596	0.493845106509978	0.983	0.961	NA
MTND4LP30	0.202	-0.35306322646435	0.596	-0.35306322646435	0.917	0.969	NA
NR2F1-AS1	0.202	-0.386379456554995	0.596	-0.386379456554995	0.7	0.913	NA
HSPA5	0.797	0.75472217836847	0.594	0.75472217836847	0.967	0.921	NA
SNRPE	0.797	0.504796436247563	0.594	0.504796436247563	0.983	0.969	NA
GOSR1	0.797	0.489865564286932	0.594	0.489865564286932	0.95	0.898	NA
RPL4P4	0.797	0.403196752886812	0.594	0.403196752886812	1	0.984	NA
TMEM99	0.203	-0.507629350335995	0.594	-0.507629350335995	0.417	0.819	NA
ACTN1	0.796	0.610299215589148	0.592	0.610299215589148	0.9	0.874	NA
CCT3	0.796	0.49158349248406	0.592	0.49158349248406	0.95	0.953	NA
AL355032.1	0.796	0.353070742561419	0.592	0.353070742561419	0.95	0.961	NA
BAIAP2	0.204	-0.35580880787788	0.592	-0.35580880787788	0.55	0.89	NA
ALKAL2	0.204	-0.692233718678688	0.592	-0.692233718678688	0.267	0.748	NA
ATP6AP2	0.795	0.606316270052071	0.59	0.606316270052071	0.95	0.961	NA
AKAP1	0.795	0.600020617157925	0.59	0.600020617157925	0.817	0.512	NA
MRPL41	0.795	0.577263804299832	0.59	0.577263804299832	0.95	0.835	NA
RPL7A	0.795	0.531511707808769	0.59	0.531511707808769	0.983	0.976	NA
