Gene	M_19W_embryo1_26_sc1	M_19W_embryo1_26_sc2	M_19W_embryo1_26_sc3	M_19W_embryo1_26_sc4	M_19W_embryo1_26_sc5	M_19W_embryo1_26_sc6	M_19W_embryo1_26_sc7	M_19W_embryo1_26_sc8	M_19W_embryo1_26_sc9	M_19W_embryo1_26_sc10	M_19W_embryo1_26_sc11	M_19W_embryo1_26_sc12	M_19W_embryo1_26_sc13	M_19W_embryo1_26_sc14	M_19W_embryo1_26_sc15	M_19W_embryo1_26_sc16	M_19W_embryo1_26_sc17	M_19W_embryo1_26_sc18	M_19W_embryo1_26_sc19	M_19W_embryo1_26_sc20	M_19W_embryo1_26_sc21	M_19W_embryo1_26_sc22	M_19W_embryo1_26_sc24	M_19W_embryo1_26_sc25	M_19W_embryo1_26_sc26	M_19W_embryo1_26_sc27	M_19W_embryo1_26_sc28	M_19W_embryo1_26_sc29	M_19W_embryo1_26_sc30	M_19W_embryo1_26_sc31	M_19W_embryo1_26_sc32	M_19W_embryo1_26_sc33	M_19W_embryo1_26_sc35	M_19W_embryo1_26_sc36	M_19W_embryo1_26_sc37	M_19W_embryo1_26_sc38	M_19W_embryo1_26_sc39	M_19W_embryo1_26_sc40	M_19W_embryo1_26_sc41	M_19W_embryo1_26_sc42	M_19W_embryo1_26_sc43	M_19W_embryo1_26_sc44	M_19W_embryo1_26_sc45	M_19W_embryo1_26_sc46	M_19W_embryo1_26_sc47	M_19W_embryo1_26_sc48	M_19W_embryo1_26_sc49	M_19W_embryo1_26_sc50
AASDHPPT	155.83	236.8	233.19	0	56.93	317.07	191.53	144.14	43.23	145.42	146.66	43.09	62.05	140.54	162.73	41.24	98.91	93.01	148.51	135.34	89.86	133.05	88.52	96.18	141.54	201.37	198.09	189.44	225.84	193.7	53.93	35.58	163.33	81.81	157.31	152.28	113.09	128.43	154.07	68.55	56.12	82.88	59.53	157.98	140.82	188.21	46.6	34.64
AASS	2.43	0	24.29	1.52	0	0	1.29	0	0	0	0	0	3.8	1.34	0	1.79	0	0	2.28	0	0	0	0	2.83	0	1.85	0	2.91	0	0	0	1.19	1.62	0	1.3	1.62	0	0	0	1.56	4.49	0	0	2.08	1.72	0	0	0
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.02	0	0	0	0
AATF	109.56	38.71	215.38	223.62	261.21	59.11	176.1	126.31	90.79	122.24	100.52	181.32	32.93	164.63	0	227.74	200.91	452.14	271.89	169.18	94.35	165.34	145.02	305.51	80.63	199.53	423.2	174.87	146.27	152.42	456.47	52.18	124.52	65.45	413.43	84.24	103.66	354.78	276.97	377.04	168.36	414.38	199.68	191.24	223.25	421.73	83.21	217.48
AATK	24.35	0	0	0	0	0	0	0	5.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	24.93	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	0	31.88	85.83	146.04	164.09	5.37	37.28	0	8.65	0	19.77	50.27	0	109.75	96.26	116.56	0	0	59.4	0	0	0	0	0	50.17	0	0	2.91	0	123.84	1.93	137.56	145.54	68.17	110.51	0	84.81	35.32	0	65.44	0	168.94	93.02	58.2	0	0	121.49	38.49
ABAT	0	0	0	0	40.19	0	0	0	1.44	0	0	1.8	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72	0	0	0
ABCA1	0	0	71.25	0	20.09	231.09	16.71	108.48	38.91	2.11	0	1.8	69.65	0	183.36	62.76	30.91	90.43	22.85	19.03	4.49	56.84	56.5	53.75	34.04	9.24	9	139.89	10.53	19.05	17.33	5.93	66.3	0	0	32.4	28.27	6.42	19.04	21.81	15.71	111.56	17.36	10.39	18.89	11.62	6.66	1.92
ABCA10	0	0	0	0	0	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.9	0	0	0	0	0	0	0
ABCA11P	2.43	0	0	1.52	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93	40.32	0	8.18	16.9	0	0	0	0	0	6.73	0	1.24	12.47	29.19	0	4.99	3.85
ABCA12	0	0	0	0	0	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.54	0	30.61	0	0	0	0	0	22.64	0	0	0	0	0	0	0	0	0	0	0	1.72	0	0	0
ABCA13	0	0	0	31.95	0	0	60.41	1.49	0	0	0	0	0	1.34	0	0	0	0	0	0	0	0	1.88	28.29	0	0	9	40.8	0	0	77.04	30.83	0	0	0	0	0	0	0	0	0	0	0	0	42.93	22.07	0	25.02
ABCA17P	0	4.55	1.62	0	66.98	59.11	0	0	2.88	0	75.8	161.57	60.79	0	0	105.8	27.82	46.51	105.1	80.36	8.99	63.29	41.44	186.7	48.38	0	19.81	17.49	4.68	73.04	55.86	18.97	88.94	0	75.41	4.86	59.68	0	25.97	35.83	51.63	0	12.4	4.16	0	41.82	0	42.34
ABCA2	34.09	0	0	0	0	0	0	0	0	0	0	28.72	0	40.15	0	0	12.36	0	0	0	0	1.29	1.88	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	93.35	11.34	22.82	3.35	123.6	65.56	41.61	36.03	0	0	100.53	13.93	61.57	0	0	3.09	0	0	71.9	123.55	12.92	43.32	0	69.88	155.19	55.83	87.43	0	101.61	105.93	92.5	1.62	5.45	9.1	4.86	0	6.42	1.73	70.11	33.67	76.5	32.25	143.43	27.48	4.65	36.61	0
ABCA4	0	0	0	0	0	0	0	68.36	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.01	0	0	0	0	18.97	0	0	0	0	0	0	0	0	0	0	0	0	13.74	0	0	0
ABCA5	2.43	38.71	30.77	79.1	70.33	241.83	33.42	117.39	86.47	1.05	135.12	41.29	73.45	46.85	0	3.59	34	222.19	29.7	0	96.6	1.29	50.85	76.38	50.17	116.39	46.82	17.49	1.17	142.89	159.86	35.58	72.77	0	120.91	210.59	6.28	0	105.6	1.56	172.85	0	35.97	74.83	44.65	187.05	163.1	157.82
ABCA6	0	0	0	0	0	0	41.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.7	0	0	0	0	0	0	0	0	0	1.72	0	0	0
ABCA7	0	0	0	0	0	0	48.85	0	47.56	0	0	0	0	42.83	0	0	0	43.92	66.26	19.03	0	0	0	0	0	0	23.41	0	38.61	0	0	0	1.62	0	0	16.2	0	0	0	0	0	0	0	87.3	0	1.16	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	4.87	6.83	0	0	3.35	85.99	62.99	0	190.23	0	0	5.39	0	14.72	0	35.87	89.64	0	0	2.11	0	0	1.88	2.83	0	1.85	27.01	0	0	3.18	0	28.46	1.62	0	13	0	0	0	1.73	169.82	0	0	0	0	0	0	0	34.64
ABCB10	29.22	0	0	12.17	0	102.11	30.85	0	5.76	1.05	0	0	0	0	0	21.52	0	0	0	0	0	0	16.95	0	0	0	7.2	40.8	0	0	0	0	11.32	95.44	1.3	3.24	138.22	0	58.86	1.56	0	0	0	4.16	0	80.16	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.49	0	0	0	43.72	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	19.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.25	0	0	0	0	40.84	0	0	0	0	22.31	0	0	0	0	0	0
ABCB6	0	25.05	38.87	0	6.7	16.12	60.41	0	0	1.05	0	17.95	0	34.8	32.09	3.59	6.18	2.58	0	0	0	43.92	79.1	67.89	0	0	0	29.14	7.02	0	28.89	167.2	30.72	0	24.7	0	34.55	0	0	4.67	0	35.06	0	0	0	12.78	0	44.27
ABCB7	38.96	2.28	1.62	3.04	3.35	0	20.57	14.86	1.44	25.29	88.98	0	0	0	0	0	40.18	2.58	54.83	63.44	4.49	19.38	79.1	53.75	12.54	160.73	91.84	0	43.3	53.98	3.85	22.53	0	0	11.7	42.12	84.81	43.34	5.19	93.48	58.36	3.19	28.53	2.08	12.02	54.6	43.27	0
ABCB8	0	0	0	0	0	0	0	49.04	10.09	122.24	49.44	0	0	0	0	0	3.09	5.17	0	0	0	16.79	0	0	5.38	7.39	19.81	34.97	69.04	3.18	0	1.19	0	0	0	0	0	0	13.85	0	0	6.38	7.44	0	3.43	16.26	0	0
ABCB9	0	0	0	6.08	0	0	0	0	0	0	0	0	22.8	0	0	1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35	0	0	0	0	0	0	9.42	30.5	0	0	0	0	0	0	0	8.13	34.95	0
ABCC1	107.13	72.86	46.96	1.52	46.88	53.74	64.27	57.95	31.7	1.05	110.41	59.24	37.99	107.08	0	41.24	0	67.17	0	12.69	24.71	77.5	62.15	76.38	69.88	114.54	30.61	8.74	0	0	94.38	21.35	3.23	81.81	92.31	27.54	43.98	9.63	32.89	98.16	20.2	35.06	17.36	64.44	8.59	0	39.94	0
ABCC10	0	29.6	6.48	0	0	0	0	0	4.32	0	0	0	6.33	5.35	0	0	0	126.6	0	16.92	0	0	39.55	33.95	0	0	0	0	8.19	0	0	2.37	3.23	0	0	0	0	0	3.46	0	15.71	0	7.44	0	5.15	0	1.66	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23	0	0	0	0	0	0	0	8.98	0	0	0	0	0	0	46.19
ABCC12	0	0	0	0	0	0	0	0	8.65	23.18	0	3.59	0	0	0	25.11	0	0	0	0	0	6.46	32.02	0	0	0	0	5.83	0	0	0	1.19	1.62	89.99	31.2	0	0	0	5.19	0	56.12	0	0	10.39	0	0	46.6	55.81
ABCC13	94.96	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.25	0	0	0	0	0	32.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	60.41	0	10.09	0	0	0	0	0	0	14.35	0	0	0	0	0	29.71	43.32	0	0	35.1	10.81	0	0	0	0	27.27	17.79	68.17	0	0	0	0	0	43.62	0	0	0	0	0	0	119.83	19.25
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.75	0	0	0	0	48.1	22.68	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	97.39	0	38.87	19.78	40.19	220.34	226.23	57.95	188.78	26.34	52.73	7.18	54.46	1.34	29.8	107.6	68	100.76	0	150.15	62.9	18.08	43.32	16.97	1.79	11.08	81.04	102.01	14.04	57.16	28.89	59.29	59.83	130.89	42.9	0	3.14	1.61	32.89	3.12	29.18	38.25	14.88	43.65	39.5	23.24	1.66	155.9
ABCC5	0	88.8	64.78	77.58	100.47	274.08	87.41	25.26	74.94	169.66	32.96	59.24	34.19	37.48	2.29	5.38	157.64	2.58	9.14	118.43	6.74	73.63	105.47	455.43	53.75	107.15	108.05	5.83	17.55	25.4	17.33	21.35	161.71	84.53	32.5	45.36	69.11	12.84	64.05	99.71	0	15.94	0	56.12	72.13	195.18	66.57	1.92
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	1.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	4.56	0	0	0	0	0	0	0	0	0	17.4	0	32.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	160.69	9.11	53.44	74.54	50.23	145.1	48.85	59.44	40.35	26.34	72.51	55.65	51.92	46.85	91.68	95.04	123.64	38.75	84.54	57.1	22.46	15.5	60.27	101.84	37.63	46.19	135.06	43.72	4.68	69.86	40.45	78.27	134.22	349.04	48.1	19.44	56.54	46.56	98.67	29.6	47.14	137.06	19.84	153.82	73.84	36.02	18.31	7.7
ABCD1	0	0	24.29	0	0	0	0	0	10.09	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9	0	0	0	0	0	0	0	21.19	0	0	0	0	16.2	0	0	0	0	0	0	0	0	0	53.44	0	0
ABCD2	0	0	0	0	3.35	0	0	0	0	0	0	0	0	0	0	53.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	18.89	0	0	0
ABCD3	0	0	11.34	0	0	0	0	46.07	28.82	11.59	44.49	61.04	69.65	25.43	71.05	32.28	83.46	10.33	0	40.18	0	78.8	22.6	2.83	1.79	92.37	23.41	52.46	40.95	0	0	43.88	129.37	19.09	55.9	53.46	15.71	3.21	39.81	28.04	42.65	70.13	39.69	58.2	18.89	0	0	21.17
ABCD4	2.43	4.55	32.39	1.52	3.35	5.37	0	86.19	41.79	105.38	0	16.16	1.27	137.86	0	62.76	6.18	118.85	98.24	0	2.25	33.58	1.88	115.98	0	1.85	18.01	2.91	55	47.63	1.93	0	17.79	40.9	2.6	0	0	0	29.43	1.56	2.24	9.56	27.28	16.63	0	17.43	0	0
ABCE1	209.39	157.11	48.58	177.99	227.72	123.6	210.81	157.52	123.94	252.91	176.32	96.94	202.62	93.69	135.23	123.73	86.55	5.17	148.51	158.61	150.51	184.72	129.96	203.67	125.42	107.15	45.02	314.76	113.5	117.49	113.64	86.57	276.52	302.69	126.11	32.4	175.91	207.09	50.2	24.93	217.74	162.56	117.82	328.43	48.08	46.47	156.44	84.68
ABCF1	202.09	1247.75	217	590.24	378.42	515.91	329.07	328.41	301.19	444.7	283.43	231.59	94.98	516.64	240.66	557.7	336.92	12.92	564.33	116.31	301.02	428.85	442.6	172.55	215	358.41	149.47	408.02	413.06	695.42	294.69	520.58	525.55	234.51	165.11	283.49	590.56	435.05	271.78	613.86	148.16	780.94	350.98	636.08	369.22	365.96	530.91	121.25
ABCF2	0	0	30.77	16.73	0	0	0	4.46	31.7	18.97	13.18	10.77	1.27	25.43	0	0	0	0	13.71	10.57	85.36	5.17	0	0	1.79	11.08	1.8	104.92	0	31.75	34.67	8.3	14.55	27.27	57.2	1.62	0	41.74	1.73	1.56	0	51	7.44	58.2	1.72	29.04	6.66	1.92
ABCF3	160.69	2.28	82.59	24.34	123.91	64.49	29.56	141.17	0	278.2	9.89	113.1	37.99	95.03	73.34	66.35	9.27	20.67	34.27	71.9	47.18	1.29	0	132.95	0	31.41	19.81	0	43.3	0	100.15	17.79	12.94	32.72	23.4	50.22	53.4	69.03	41.55	29.6	15.71	0	80.61	108.09	0	51.12	73.23	138.57
ABCG1	0	0	0	0	0	0	0	0	0	0	0	26.93	0	0	0	0	0	0	0	0	0	0	0	209.33	28.67	0	0	0	1.17	0	11.56	0	0	0	0	19.44	0	0	15.58	0	0	0	0	0	0	0	0	75.06
ABCG2	75.48	25.05	66.4	1.52	40.19	456.8	0	2.97	0	0	0	1.8	0	0	41.26	0	0	0	0	198.79	0	25.83	0	48.09	23.29	38.8	66.63	0	0	0	1.93	0	0	0	3.9	19.44	0	36.92	55.39	10.91	6.73	0	0	0	37.78	0	34.95	34.64
