Gene	M_19W_embryo2_103_sc1	M_19W_embryo2_103_sc2	M_19W_embryo2_103_sc3	M_19W_embryo2_103_sc4	M_19W_embryo2_103_sc5	M_19W_embryo2_103_sc6	M_19W_embryo2_103_sc7	M_19W_embryo2_103_sc8	M_19W_embryo2_103_sc9	M_19W_embryo2_103_sc10	M_19W_embryo2_103_sc11	M_19W_embryo2_103_sc12	M_19W_embryo2_103_sc13	M_19W_embryo2_103_sc14	M_19W_embryo2_103_sc15	M_19W_embryo2_103_sc16	M_19W_embryo2_103_sc17	M_19W_embryo2_103_sc18	M_19W_embryo2_103_sc19	M_19W_embryo2_103_sc20	M_19W_embryo2_103_sc21	M_19W_embryo2_103_sc22	M_19W_embryo2_103_sc23	M_19W_embryo2_103_sc24	M_19W_embryo2_103_sc25	M_19W_embryo2_103_sc26	M_19W_embryo2_103_sc27	M_19W_embryo2_103_sc28	M_19W_embryo2_103_sc29	M_19W_embryo2_103_sc30	M_19W_embryo2_103_sc31	M_19W_embryo2_103_sc32	M_19W_embryo2_103_sc33	M_19W_embryo2_103_sc34	M_19W_embryo2_103_sc35	M_19W_embryo2_103_sc36	M_19W_embryo2_103_sc37	M_19W_embryo2_103_sc38	M_19W_embryo2_103_sc39	M_19W_embryo2_103_sc40	M_19W_embryo2_103_sc41	M_19W_embryo2_103_sc42	M_19W_embryo2_103_sc43	M_19W_embryo2_103_sc44	M_19W_embryo2_103_sc45	M_19W_embryo2_103_sc46	M_19W_embryo2_103_sc47	M_19W_embryo2_103_sc48	M_19W_embryo2_103_sc49	M_19W_embryo2_103_sc50
AAED1	88.27	2.14	66.06	109.35	0	71.89	29.88	0	91.89	0	80.22	0	11.04	1.98	0	1.53	0	0	63.71	0	0	0	0	0	0	13.04	81.4	146.57	82.1	0	150.15	113.97	63.39	0	84.82	55.9	0	0	0	71.42	49.04	0	32.43	0	42.55	3.12	0	50.64	82.38	114.88
AAGAB	65.32	85.73	129.12	162.96	42.77	69.71	80.66	41.86	37.98	68.92	72.52	66.14	156.11	75.43	178.13	6.12	173.5	84.19	0	267.13	1.67	73.2	0	119.15	0	4.35	130.25	163.12	41.05	32.8	82.34	32.92	67.12	0	40.18	37.27	144.73	6.75	64.6	0	89	162.78	82.56	143.08	13.3	74.85	100.77	29.15	261.56	218.68
AAK1	222.45	0	75.07	308.76	241.05	172.1	533.27	352.3	270.77	215.16	75.82	145.52	86.73	21.83	56.94	65.75	250.04	301.42	41.1	274.76	56.82	5.78	0	3.97	0	28.26	184.52	250.59	8.8	198.51	334.2	129.16	275.95	0	109.37	71.15	42.57	121.48	64.6	285.67	79.92	0	0	155.7	0	190.25	138.55	24.55	187.42	4.15
AAMDC	61.79	68.59	238.73	169.39	101.09	58.82	216.6	207.54	51.46	0	130.76	317.49	201.85	267.97	271.58	256.87	188.81	183.54	14.39	55.97	70.19	150.26	0	0	109.86	0	0	92.2	123.15	67.32	121.09	151.96	124.92	0	366.05	442.13	123.45	179.97	91.2	3.4	78.1	122.08	209.34	75.75	0	180.89	264.51	196.4	53.55	67.82
AAMP	81.21	72.87	70.57	2.14	3.89	21.78	0	55.81	122.52	53.79	31.87	72.76	121.42	47.64	58.4	45.87	58.68	55.57	84.26	68.69	61.84	73.2	0	23.83	109.86	10.87	84.12	30.73	175.93	91.49	87.18	86.11	22.37	0	93.74	16.94	26.96	0	45.6	0	116.24	179.61	48.65	2.1	47.87	155.94	53.53	179.53	45.31	0
AANAT	38.84	0	0	0	0	0	0	0	0	0	0	52.92	0	0	7.3	0	0	3.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.98	0	13.6	0	0	0	0	0	0	0	0	0	0
AAR2	0	36.44	0	38.6	0	0	41.83	0	0	52.11	65.93	0	58.35	57.56	35.04	18.35	63.79	70.72	34.94	99.22	66.85	36.6	0	0	0	0	54.27	2.36	82.1	84.58	106.56	83.58	37.29	0	8.93	16.94	46.83	60.74	0	0	0	14.03	0	48.39	55.85	0	39.36	35.29	22.66	52.59
AARD	0	0	1.5	0	0	13.07	0	0	1.23	0	0	82.68	0	0	74.46	0	0	0	174.69	0	0	0	0	0	0	0	0	0	0	0	38.75	98.77	0	0	0	0	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0
AARS	98.87	34.29	25.52	75.05	15.55	63.17	74.69	136.04	12.25	55.47	12.09	33.07	14.19	0	26.28	174.3	10.21	40.41	78.1	66.15	116.99	1.93	0	0	42.25	28.26	127.53	0	29.32	44.88	0	45.59	0	0	2.23	1.69	79.46	2.25	19	54.41	103.53	42.1	154.79	33.67	37.23	77.97	12.6	85.93	78.26	0
AARS2	0	6.43	0	0	0	0	0	1.74	0	1.68	0	3.31	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86	0	0	1.69	0	0	3.8	0	0	0	0	0	0	31.19	0	0	0	0
AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	1.77	6.43	0	51.46	112.75	117.64	88.13	0	47.78	47.07	117.58	29.76	75.69	0	0	9.17	56.13	1.68	119.2	2.54	80.22	21.19	0	266.09	308.45	71.74	81.4	49.65	0	1.73	140.46	233	100.68	0	49.1	113.5	177.37	2.25	0	268.66	85.37	47.71	117.94	2.1	0	3.12	107.06	79.79	92.68	2.77
AASDHPPT	254.23	30.01	15.01	2.14	248.83	95.85	28.38	118.6	333.26	220.21	223.07	195.12	402.11	117.11	219.01	191.12	76.54	215.54	164.42	17.81	31.75	13.48	0	182.69	105.63	180.44	105.82	153.67	49.85	153.63	184.05	134.23	156.62	0	0	154.15	85.14	152.98	155.81	71.42	188.89	130.5	69.29	326.14	117.02	190.25	135.41	135.03	333.65	66.43
AASS	1.77	0	0	4.29	0	0	0	3.49	0	0	0	0	0	0	0	0	0	0	2.06	0	0	30.82	0	0	0	0	84.12	0	0	6.9	4.84	2.53	1.86	0	0	0	0	0	0	0	0	0	0	6.31	0	0	0	0	0	0
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	56.49	218.62	180.17	188.69	392.69	361.62	236.01	136.04	126.2	253.83	73.62	238.12	269.65	367.22	245.3	84.09	73.99	210.49	184.97	96.67	237.32	344.82	0	420.98	76.05	260.88	287.63	148.94	225.78	364.22	164.68	458.41	339.34	0	167.4	340.49	324.94	166.47	296.41	513.52	65.39	162.78	287.47	151.5	401.6	221.44	297.58	121.22	304.81	139.79
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.74	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.83	0	0	0	0	0	0	0	0	4.12	0
ABALON	0	36.44	0	0	0	76.25	1.49	123.83	62.49	55.47	3.3	165.36	52.04	75.43	194.19	0	2.55	0	0	221.33	53.48	0	0	0	105.63	4.35	0	11.82	152.48	0	0	86.11	139.84	0	0	35.57	1.42	0	121.6	272.06	0	108.05	35.38	65.23	0	224.56	0	33.76	154.47	95.5
ABAT	0	0	0	0	31.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.74	0	63.12	0	0	0	1.53	0	0
ABCA1	0	0	21.02	53.6	38.88	21.78	64.23	45.35	1.23	20.17	63.73	0	29.96	13.89	0	1.53	2.55	13.47	2.06	20.35	0	73.2	0	3.97	50.7	56.52	0	2.36	0	8.63	62.97	20.26	50.34	0	0	6.78	14.19	20.25	3.8	0	0	5.61	1.47	2.1	0	21.83	0	49.1	0	55.36
ABCA10	42.37	27.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.94	0	0	0	0	0	0	0	0	0	0	0	0	0	20.26	0	0	0	1.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	0	0	19.3	0	0	0	0	34.31	0	0	0	7.88	5.95	0	0	0	0	0	0	13.37	9.63	0	0	0	0	0	0	0	13.81	82.34	0	0	0	0	0	0	0	0	0	0	0	0	33.67	0	6.24	74	0	0	0
ABCA12	0	0	0	0	0	34.86	0	1.74	0	0	0	0	0	0	0	0	0	0	0	0	0	9.63	0	0	0	17.39	0	0	90.9	0	0	2.53	0	0	0	0	0	0	0	64.62	0	0	0	0	119.68	0	0	0	0	0
ABCA13	1.77	4.29	0	0	112.75	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71	0	5.86	0	0	25.33	0	0	0	0	4.26	0	0	0	56.3	1.4	0	0	164.89	3.12	0	61.38	0	41.52
ABCA17P	31.78	8.57	0	47.17	81.65	56.64	116.51	78.48	67.39	40.34	60.44	145.52	209.73	93.29	0	56.57	0	6.74	10.28	2.54	20.06	0	0	75.46	0	26.09	0	40.19	67.44	31.07	0	75.98	27.97	0	0	13.55	124.87	80.99	0	61.21	41.77	5.61	0	42.08	37.23	77.97	81.87	118.15	0	148.09
ABCA2	0	0	10.51	4.29	0	0	0	0	0	0	0	0	6.31	17.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0	0	0	0	21.83	0	6.14	0	116.26
ABCA3	14.12	66.44	24.02	47.17	54.43	102.39	1.49	41.86	50.23	48.75	0	72.76	58.35	138.95	35.04	13.76	2.55	58.94	82.21	12.72	0	111.73	0	3.97	76.05	221.74	0	56.74	0	0	0	0	0	0	0	0	62.43	0	68.4	3.4	50.86	21.05	33.91	101	154.26	9.36	75.58	49.1	304.81	1.38
ABCA4	26.48	0	0	0	0	28.32	0	0	0	0	0	52.92	0	0	0	0	0	0	69.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.55	0	23.62	0	0	23.53
ABCA5	52.96	32.15	69.07	199.41	120.53	111.1	91.12	111.62	57.59	168.1	62.63	175.28	0	3.97	30.66	16.82	114.81	353.62	14.39	228.96	180.5	86.69	0	301.84	0	106.52	8.14	0	61.58	0	62.97	111.44	76.45	0	93.74	32.19	76.62	0	136.81	153.04	138.04	0	204.92	2.1	156.91	74.85	113.36	251.64	123.57	56.75
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	42.04	0	0	37.03	0	50.58	2.45	0	0	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.12	77.68	0	0	0	0	2.23	0	0	0	0	0	0	0	1.47	37.87	0	0	0	0	0	44.29
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.29
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	62.16	0	87.91	0	0	70.21	15.7	188.68	0	1.1	16.54	9.46	0	0	33.64	0	8.42	0	0	0	0	0	79.43	0	0	8.14	319.15	0	41.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.47	0	0	0	0	52.59
ABCB10	12.36	0	0	17.15	0	0	22.41	0	7.35	11.77	2.2	3.31	1.58	11.91	83.23	0	0	21.89	0	0	55.15	1.93	0	0	0	0	0	0	0	0	116.24	37.99	78.31	0	2.23	44.04	0	0	68.4	61.21	1.82	23.85	0	0	2.66	0	0	1.53	37.07	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	7.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.27	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	93.09	0	0	0	0	0
ABCB6	5.3	12.86	16.52	0	0	30.5	100.08	0	0	0	31.87	0	14.19	0	0	0	2.55	3.37	0	117.03	18.38	0	0	87.37	0	0	0	0	0	12.08	0	25.33	0	0	0	0	9.93	18	19	0	0	23.85	0	2.1	82.45	0	86.6	27.62	12.36	0
ABCB7	90.04	98.59	0	0	50.54	43.57	62.74	0	2.45	42.02	68.13	0	48.88	11.91	0	42.81	53.58	0	0	0	25.07	7.71	0	0	156.34	102.18	21.71	40.19	85.03	0	33.9	48.12	0	0	29.02	0	34.06	4.5	0	68.02	23.61	0	2.95	23.15	0	34.31	78.72	39.89	0	0
ABCB8	63.56	0	0	0	0	13.07	0	15.7	0	0	25.27	49.61	0	0	0	51.99	0	0	0	2.54	1.67	0	0	0	0	10.87	21.71	7.09	0	0	0	2.53	3.73	0	0	0	1.42	56.24	0	0	0	0	0	0	0	0	0	7.67	0	0
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.22	19.88	0	0	0	0	1.67	0	0	0	0	0	0	23.64	0	0	0	17.73	26.1	0	0	0	1.42	0	0	0	0	0	0	0	5.32	0	0	0	0	0
ABCC1	116.52	23.58	49.55	175.82	0	21.78	121	163.94	60.04	110.94	21.98	105.83	121.42	85.35	91.99	12.23	33.17	0	47.27	38.16	38.44	5.78	0	3.97	0	197.83	73.26	4.73	0	74.23	58.12	169.69	0	0	87.05	88.09	137.64	53.99	53.2	159.84	39.96	181.02	41.28	37.87	146.28	112.28	166.9	41.43	65.91	89.96
ABCC10	0	51.44	0	0	0	0	1.49	61.04	35.53	0	0	0	0	0	0	0	0	23.57	0	0	0	0	0	0	0	0	18.99	0	0	0	0	0	0	0	2.23	0	0	0	0	0	3.63	0	1.47	6.31	0	0	0	0	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.25	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	3.15	0	0	0	0	0	2.06	0	0	94.39	0	0	0	0	0	56.74	0	0	0	70.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	97.2	0	0	0	0	62.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.54	0	67.44	0	0	0	0	0	0	0	87.98	18	79.8	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.23	0	0	0	0	0	0	0	46.61	0	0	0	0	0	0	0	2.25	38	0	0	0	0	92.58	0	0	0	0	0	0
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	35.31	51.44	31.53	6.43	46.66	63.17	34.36	36.63	53.91	0	35.16	112.44	20.5	127.04	90.53	32.11	5.1	28.63	2.06	7.63	0	105.95	0	0	0	134.79	105.82	378.25	0	84.58	72.65	45.59	11.19	0	44.64	35.57	123.45	83.24	41.8	81.62	52.67	87	25.06	0	186.17	90.45	58.26	0	18.54	228.37
ABCC5	112.99	70.73	0	315.19	0	50.1	173.28	87.2	134.77	48.75	28.57	76.07	12.62	61.53	16.06	27.52	33.17	121.24	98.65	0	1.67	9.63	0	142.98	38.03	0	189.94	30.73	0	132.92	0	27.86	303.92	0	2.23	162.62	0	0	0	27.21	39.96	1.4	0	193.58	114.36	0	56.68	36.83	2.06	110.72
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.56	0	0	0	0	0	26	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.44	0	0	0	0	0	0	0	0	0	0	41.43	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	37.43	14.17	9.21	0	0
ABCC9	158.89	77.16	37.54	167.25	97.2	15.25	19.42	34.88	34.31	62.2	37.36	46.3	39.42	45.65	36.5	53.51	35.72	45.47	110.98	132.29	15.04	13.48	0	103.26	126.76	91.31	162.81	89.83	269.77	86.31	169.52	103.84	173.4	0	55.8	94.86	49.66	42.74	247.01	44.21	121.69	91.21	41.28	86.27	101.06	149.71	17.32	65.98	24.71	22.14
ABCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	29.77	0	1.53	0	0	0	0	0	0	0	0	0	2.17	0	23.64	0	0	0	0	0	0	0	0	45.41	0	0	0	0	0	0	0	0	0	0	4.6	0	0
ABCD2	0	0	0	0	0	0	0	0	0	33.62	25.27	0	0	0	0	0	0	0	0	5.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	3.53	0	28.53	36.45	19.44	26.14	107.55	87.2	15.93	1.68	34.06	0	0	63.52	1.46	68.8	0	13.47	47.27	129.75	41.78	0	0	7.94	0	34.78	0	63.83	105.56	25.89	14.53	2.53	76.45	0	64.73	116.89	17.03	20.25	26.6	353.68	58.12	71.56	76.66	0	31.91	68.62	0	61.38	0	1.38
ABCD4	0	0	9.01	98.63	139.97	76.25	0	0	22.05	5.04	4.4	0	25.23	53.59	1.46	15.29	0	69.04	90.43	20.35	25.07	42.38	0	0	0	0	0	18.91	102.63	50.06	121.09	45.59	33.56	0	2.23	23.72	0	0	0	0	18.16	0	5.9	0	0	24.95	1.57	3.07	0	51.21
ABCE1	222.45	385.79	195.19	169.39	338.25	300.62	52.28	174.41	107.82	151.29	141.75	165.36	269.65	357.29	116.81	160.54	17.86	104.4	180.86	249.32	98.6	221.53	0	210.49	177.46	6.52	51.56	262.41	140.75	343.51	150.15	286.19	13.05	0	111.6	265.96	204.33	224.97	45.6	183.64	297.87	102.44	287.47	92.58	63.83	93.57	283.41	52.17	43.25	427.67
ABCF1	499.62	375.08	483.46	184.4	15.55	228.74	280.83	521.47	69.84	272.32	371.41	214.97	507.77	142.92	643.9	356.25	586.83	45.47	197.3	480.83	300.83	446.92	0	393.18	50.7	443.49	491.14	475.18	70.37	129.46	125.93	445.74	152.89	0	209.81	777.55	231.29	85.49	334.41	717.57	470.42	467.28	116.46	288.26	518.62	452.24	546.35	279.26	240.97	824.89
ABCF2	79.45	156.46	0	0	0	4.36	152.36	24.42	41.66	47.07	54.94	19.84	17.35	0	0	74.92	48.48	0	28.77	99.22	0	0	0	111.2	42.25	0	0	0	0	0	0	5.07	95.09	0	118.3	1.69	0	0	0	3.4	12.71	0	51.6	23.15	0	6.24	9.45	0	49.43	23.53
ABCF3	15.89	19.29	69.07	0	11.66	84.96	77.68	1.74	18.38	0	105.49	89.29	53.62	107.19	27.74	50.46	66.34	60.62	123.31	43.25	110.3	3.85	0	0	147.88	0	0	18.91	0	0	62.97	141.83	0	0	13.39	1.69	78.04	184.47	38	129.23	90.81	133.31	33.91	231.45	58.51	46.78	36.21	170.32	0	55.36
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
